"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"qvalue"
"TXNRD1"	0.00623905565419774	1.17389232575534	0.118	0.013	1	"3"	"TXNRD1"	0.322655162793626
"GM6075"	0.00636866742021998	0.963930590215704	0.137	0.019	1	"3"	"GM6075"	0.325601148791931
"PRDX3"	0.00680698137370286	1.02722623022382	0.137	0.019	1	"3"	"PRDX3"	0.342796522662205
"PVR"	0.00695444127989024	0.740659656777646	0.098	0.006	1	"3"	"PVR"	0.347618652228268
"GM13777"	0.00710172854039441	1.05120861006149	0.137	0.019	1	"3"	"GM13777"	0.351369831972104
"H2.K2"	0.00731643287098453	0.771357758087009	0.098	0.006	1	"3"	"H2.K2"	0.359039256873204
"RALGAPA1"	0.00746919725061865	0.896786746262729	0.118	0.013	1	"3"	"RALGAPA1"	0.363879805187748
"EHBP1L1"	0.00764351429232661	0.979205910137771	0.157	0.031	1	"3"	"EHBP1L1"	0.369693140915912
"WDR81"	0.008097184091614	0.896877468323618	0.098	0.006	1	"3"	"WDR81"	0.378457723533209
"KRAS"	0.00826980519115925	0.7921567390237	0.235	0.075	1	"3"	"KRAS"	0.378457723533209
"PAFAH1B1"	0.00842578759464549	0.692588853984491	0.333	0.138	1	"3"	"PAFAH1B1"	0.380939420150011
"GM12466"	0.00849931771865264	1.13236324421226	0.235	0.075	1	"3"	"GM12466"	0.380939420150011
"TRIM47"	0.00872380707663457	0.870957707021388	0.098	0.006	1	"3"	"TRIM47"	0.386352271125777
